Coin,Classification,mean_pnl,win_rate,n_trades
@1,Fear,8.6644985,0.5,2
@1,Greed,-47.982752,0.0,1
@10,Fear,0.0,0.0,1
@10,Greed,-0.031742,0.0,2
@103,Greed,4.9854615,0.5,2
@107,Extreme Fear,14.373521537313433,0.3283582089552239,67
@107,Extreme Greed,495.65087032317325,0.85678496868476,2395
@107,Fear,45.982377657967035,0.3557692307692308,1456
@107,Greed,85.77625654788069,0.39717425431711145,1911
@107,Neutral,28.32857077571826,0.577386468952734,1079
@11,Extreme Greed,0.0,0.0,1
@113,Greed,15.495707,1.0,1
@13,Fear,0.0,0.0,1
@13,Greed,-0.061895,0.0,2
@14,Extreme Greed,0.0,0.0,16
@14,Greed,0.0,0.0,1
@142,Fear,6.981712166666667,0.3333333333333333,12
@142,Greed,6.9411371543624165,0.4228187919463087,149
@16,Fear,0.0,0.0,1
@16,Greed,-0.0302145,0.0,2
@20,Extreme Greed,0.0,0.0,4
@20,Greed,0.23690439999999996,0.1,20
@23,Fear,0.0,0.0,9
@26,Fear,0.0,0.0,1
@26,Greed,-0.032252249999999996,0.0,8
@29,Fear,0.0,0.0,1
@29,Greed,-0.0195935,0.0,4
@3,Extreme Greed,0.0,0.0,1
@3,Greed,0.035578,0.15384615384615385,13
@33,Greed,4.522309666666667,0.6666666666666666,3
@35,Fear,0.0,0.0,1
@35,Greed,33.5140635,1.0,2
@37,Fear,10.17704,1.0,1
@38,Extreme Greed,0.0,0.0,1
@38,Fear,0.0,0.0,1
@38,Greed,33.271993,1.0,1
@39,Fear,0.0,0.0,1
@39,Greed,12.238556,1.0,1
@4,Extreme Fear,23.178014714285716,0.5357142857142857,28
@4,Extreme Greed,-12.607399835443038,0.08860759493670886,79
@4,Fear,3.8766519574468083,0.3404255319148936,47
@4,Greed,1.1528842789473683,0.1736842105263158,190
@4,Neutral,8.129954914893617,0.10638297872340426,47
@40,Fear,0.0,0.0,1
@40,Greed,16.748319,1.0,1
@41,Extreme Greed,0.0,0.0,1
@41,Fear,0.0,0.0,1
@41,Greed,18.36922,0.5,2
@42,Greed,0.0,0.0,1
@44,Extreme Greed,0.0,0.0,1
@44,Fear,0.0,0.0,1
@45,Extreme Greed,0.0,0.0,1
@46,Extreme Greed,0.0,0.0,2
@47,Fear,0.0,0.0,1
@47,Greed,16.771152666666666,0.6666666666666666,3
@48,Neutral,0.0,0.0,1
@49,Extreme Fear,-10.178054249999999,0.0,4
@49,Fear,0.0,0.0,1
@51,Fear,0.0,0.0,20
@51,Greed,-37.27303,0.0,1
@51,Neutral,0.0,0.0,15
@59,Fear,0.0,0.0,13
@59,Greed,0.0,0.0,2
@63,Greed,-20.663546,0.0,1
@74,Extreme Greed,299.941989,1.0,1
@74,Fear,0.0,0.0,2
@74,Greed,12.703987,1.0,1
@78,Fear,0.0,0.0,3
@8,Extreme Fear,0.0,0.0,2
@8,Extreme Greed,0.0,0.0,40
@8,Fear,5.5872414500000005,0.25,20
@8,Greed,1.5165661764705882,0.14705882352941177,34
@8,Neutral,0.0,0.0,31
@85,Fear,0.0,0.0,41
@85,Greed,678.66879056,0.84,25
AAVE,Extreme Fear,18.182371999999997,0.6666666666666666,3
AAVE,Extreme Greed,85.3615937254902,0.4803921568627451,102
AAVE,Fear,9.362390486486486,0.24324324324324326,37
AAVE,Greed,2.365056642857143,0.10714285714285714,28
AAVE,Neutral,0.7811135714285715,0.14285714285714285,14
ACE,Greed,39.622400000000006,0.6666666666666666,3
ADA,Extreme Fear,0.0,0.0,5
ADA,Extreme Greed,83.74596844444444,0.3333333333333333,9
ADA,Fear,38.6411216701031,0.5567010309278351,97
ADA,Greed,0.212203,0.38461538461538464,13
ADA,Neutral,8.95989075,1.0,4
AI,Extreme Fear,4.986738666666667,0.5,6
AI,Greed,1.6497771428571428,0.42857142857142855,7
AI16Z,Extreme Fear,17.22449568965517,0.4482758620689655,29
AI16Z,Fear,14.227716608695653,0.5652173913043478,23
AI16Z,Greed,48.52401923913043,0.6956521739130435,46
AI16Z,Neutral,4.838948470588235,0.5882352941176471,17
AIXBT,Extreme Fear,14.264576,0.6,5
AIXBT,Fear,11.057061875,0.625,48
AIXBT,Greed,27.785579021276593,0.7872340425531915,47
AIXBT,Neutral,1.0917712222222222,0.5555555555555556,9
