segment,Classification,mean_pnl,win_rate,n_days
High Activity,Extreme Fear,458.04185837499995,0.2629725386178666,16
High Activity,Extreme Greed,26507.42781953488,0.3959086906917376,43
High Activity,Fear,17158.98934721875,0.4032411309402892,96
High Activity,Greed,4605.585201854166,0.4068484778219171,96
High Activity,Neutral,3573.0186839499997,0.4375784258019104,20
Low Activity,Extreme Fear,-172.27842252941178,0.08928571428571429,17
Low Activity,Extreme Greed,247.45332371014493,0.2985760423201532,69
Low Activity,Fear,2163.3213987049176,0.2659761747667143,61
Low Activity,Greed,1763.1195079789472,0.2988237534648648,95
Low Activity,Neutral,188.0216647647059,0.16540049218067793,17
